species,lifespan
lophodytes cucullatus,11.5
lota lota,20
lottia gigantea,20
loxodonta africana,70
loxodonta cyclotis,70
loxops coccineus,10
luidia ciliaris,2.5
luscinia megarhynchos,5
lutrogale perspicillata,7
luxilus coccogenis,4
lycaeides melissa,0.92
lycaena phlaeas,1
lycalopex culpaeus,11
lycalopex fulvipes,7
lycaon pictus,10
lymantria dispar,1
lynx canadensis,14.5
lynx lynx,5
lynx pardinus,13
lynx rufus,15
macaca fuscata,30
macaca mulatta,30
macaca nemestrina,26
macaca nigra,18
macaca radiata,22.5
macaca silenus,20
macaca sinica,30
macaca sylvanus,22
macquaria australasica,20
macrocheira kaempferi,100
macrochelys temminckii,28
macroglossus sobrinus,5
macrophyllum macrophyllum,1.39
macropus agilis,12.5
macropus antilopinus,16
macropus dorsalis,10
macropus eugenii,14
macropus fuliginosus,20
macropus giganteus,8
macropus parma,7
macropus parryi,10
macropus robustus,24
macropus rufogriseus,15
macropus rufus,30
macroscelides proboscideus,1.5
macrosiphum euphorbiae,0.06
macrotus californicus,10.4
makaira nigricans,25
malacosoma americanum,0.83
manouria emys,150
manta alfredi,25
mantella aurantiaca,8
margaritifera margaritifera,93
marmota bobak,15
marmota broweri,14
marmota flaviventris,14
marmota himalayana,15
marmota marmota,15
marmota monax,4
marmota olympus,4
marmota vancouverensis,10
martes foina,10
martes martes,10
martes pennanti,10
martes zibellina,8
mastigoproctus giganteus,5.5
mazama americana,12
mazama gouazoubira,13
megachile rotundata,0.04
megadyptes antipodes,23
megalonaias nervosa,54
megalops atlanticus,55
megaptera novaeangliae,77
megarhyssa atrata,0.07
melanerpes carolinus,12.1
melanerpes erythrocephalus,9.92
melanerpes formicivorus,9.5
melanitta nigra,16.8
meleagris gallopavo,13
meles anakuma,10
meles meles,6
melierax canorus,7
melittobia australica,0.09
mellisuga helenae,7
mellita quinquiesperforata,4
mellivora capensis,7.5
melospiza georgiana,5.92
melospiza melodia,11.33
menippe mercenaria,6.5
mephitis mephitis,6
mergus merganser,13.42
mergus serrator,9.33
mermis nigrescens,3
merops apiaster,5.9
merops ornatus,2
mesocricetus auratus,1.75
mesoplodon europaeus,27
metachirus nudicaudatus,3.5
micrathene whitneyi,5
microcavia australis,3.5
microcebus myoxinus,0
microcebus rufus,7
microgale dobsoni,5.6
microgale talazaci,5.8
microlophus albemarlensis,10
micromys minutus,1.5
micropterus dolomieu,26
micropterus salmoides,10
microtus californicus,0.54
microtus longicaudus,1
microtus ochrogaster,1
microtus oeconomus,2
microtus pinetorum,0.25
microtus xanthognathus,1.42
milnesium tardigradum,6
milvus migrans,22
mimon crenulatum,20
mimus polyglottos,14.83
miniopterus australis,5.5
miopithecus talapoin,28
mirounga angustirostris,9
mirounga leonina,23
misumenops celer,0.69
mniotilta varia,11.25
moloch horridus,6
molothrus ater,16.83
monachus monachus,30
monachus schauinslandi,25
monachus tropicalis,20
monodelphis domestica,4
monodon monoceros,40
morelia viridis,3.4
morone americana,16
morone chrysops,15
morone mississippiensis,7
morone saxatilis,20
morus bassanus,21
moschus chrysogaster,3.1
moschus leucogaster,12
mugil cephalus,5
muntiacus crinifrons,11
muntiacus gongshanensis,11
muntiacus reevesi,11
mus musculus,1.25
musca domestica,0.17
muscardinus avellanarius,3
mustela erminea,1.5
mustela itatsi,2
mustela lutreola,10
mustela nivalis,2
mustela putorius,10
mustela sibirica,2.1
mustela subpalmata,1
mycteria americana,18.75
mycteroperca venenosa,15
myiarchus cinerascens,9
myiarchus crinitus,14
myliobatis californica,23
myocastor coypus,6
myodes gapperi,1.67
myodes glareolus,1.25
myodes rutilus,0.5
myopus schisticolor,1
myosorex varius,0
myotis auriculus,3
myotis austroriparius,21
myotis daubentonii,4.5
myotis evotis,22
myotis grisescens,14.5
myotis keenii,13
myotis leibii,9
myotis lucifugus,6.5
myotis myotis,13
myotis mystacinus,3.5
myotis septentrionalis,18.5
myotis sodalis,20
myotis vivesi,10
myoxocephalus thompsonii,7
myrmecobius fasciatus,5
mytilus californianus,3
mytilus edulis,21
naemorhedus caudatus,15
naemorhedus goral,15
nanger dama,12
nanger granti,12
napaeozapus insignis,3
narceus americanus,6
nasua narica,14
nasua nasua,14
nasuella olivacea,7
natator depressus,100
nectomys squamipes,1
negaprion brevirostris,30
neoceratodus forsteri,75
neofelis nebulosa,11
neogobius melanostomus,4
neomys fodiens,3
neophocaena phocaenoides,23
neotoma albigula,6
neotoma floridana,3
neotoma lepida,3
neotoma magister,4.46
neotrypaea californiensis,5
neovison vison,10
nerodia fasciata,8
netta rufina,7.6
neurergus kaiseri,14
nicrophorus americanus,1
ningaui yvonnae,1.08
nomascus leucogenys,28
norops sagrei,5
nosopsyllus fasciatus,0.88
notemigonus crysoleucas,0
notophthalmus perstriatus,12.9
notorynchus cepedianus,50
notropis longirostris,1.75
notropis topeka,3
noturus exilis,4
noturus flavipinnis,4
noturus flavus,5.5
noturus miurus,3
nucifraga columbiana,17.42
nyctalus leisleri,9
nyctalus noctula,8
nyctea scandiaca,16.75
nyctereutes procyonoides,11
nycticebus coucang,20
nycticeius humeralis,2
nycticorax nycticorax,21.08
nymphicus hollandicus,12
ochotona collaris,6
ochotona curzoniae,0.33
ochotona hyperborea,2
ochotona macrotis,2
ochotona princeps,3
ochotona pusilla,4
ochotona rutila,3
octopus bimaculatus,1.25
odobenus rosmarus,35
odocoileus virginianus,2
odontaster validus,0.01
oeneis uhleri,0.21
oligocottus snyderi,2
ommatophoca rossii,21
oncorhynchus clarkii,7
oncorhynchus gilae,4
oncorhynchus kisutch,4.1
oncorhynchus mykiss,11
oncorhynchus nerka,8
oncorhynchus tshawytscha,3.5
ondatra zibethicus,3
opheodrys aestivus,8
ophiodon elongatus,20
ophiogomphus howei,2
ophiogomphus susbehcha,2
ophiothrix fragilis,10
oporornis tolmiei,7.17
orcaella brevirostris,32
